"","ensembl_id","gene_name"
"599","ENSMUSG00000026383","Epb41l5"
"600","ENSMUSG00000026384","Ptpn4"
"601","ENSMUSG00000036975","Tmem177"
"602","ENSMUSG00000036962","Cfap221"
"603","ENSMUSG00000026387","Sctr"
"604","ENSMUSG00000050777","Tmem37"
"605","ENSMUSG00000026385","Dbi"
"606","ENSMUSG00000026388","3110009E18Rik"
"607","ENSMUSG00000026389","Steap3"
"608","ENSMUSG00000036907","C1ql2"
"609","ENSMUSG00000026390","Marco"
"610","ENSMUSG00000058665","En1"
"611","ENSMUSG00000003721","Insig2"
"612","ENSMUSG00000026339","Ccdc93"
"613","ENSMUSG00000050534","Htr5b"
"614","ENSMUSG00000001674","Ddx18"
"615","ENSMUSG00000036815","Dpp10"
"616","ENSMUSG00000026341","Actr3"
"617","ENSMUSG00000026342","Slc35f5"
"618","ENSMUSG00000026343","Gpr39"
"619","ENSMUSG00000026344","Lypd1"
"620","ENSMUSG00000049690","Nckap5"
"621","ENSMUSG00000036155","Mgat5"
"622","ENSMUSG00000026347","Tmem163"
"623","ENSMUSG00000026348","Acmsd"
"624","ENSMUSG00000026349","Ccnt2"
"625","ENSMUSG00000051590","Map3k19"
"626","ENSMUSG00000036104","Rab3gap1"
